,sample,plate,batch,well,row,col,replicate,region,sort,cm.from.mouth,Paired DNA,prior_cell_type,n_counts,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,total_counts_ribo,pct_counts_ribo,_scvi_batch,_scvi_labels,leiden,S_score,G2M_score,phase,esophageal_diff_score,basal_epithelial_score,cd8_score,cd4_score,cd8_cd4_score,leiden2,leiden3,cell_type,Cell Type,dpt_pseudotime,Diffusion Pseudotime,% MT,% ribo
cu03_p3r3J23,cu03,p3,cu03_p3,J23,J,23,3,B,CD45+,27.0,True,,581631.0,2057,581631.0,28679.0,4.9307895,75554.0,12.990024,0,0,7,-0.15899367537200926,-0.14538880946641727,G1,0.42114961860285083,0.7154413078129291,-0.05347623087465763,0.3142855263998111,-0.36776175727446875,7,t0,CD4+ T Cell,CD4+ T Cell,,,4.9307895,12.990024
cu02_p1r3J8,cu02,p1,cu02_p1,J8,J,8,3,3,EPCAM+,24.0,True,Basal Epithelial,522094.0,5540,522094.0,47116.0,9.024428,97532.0,18.680927,0,0,5,-0.1346030848509893,-0.23049901020239813,G1,0.17424774354915407,0.870321184799075,-0.09405682081356645,-0.10125483423471451,0.007198013421148064,5,5,Basal Epithelial,Basal Epithelial,0.0,0.0,9.024428,18.680927
cu01_p2r1B11,cu01,p2,cu01_p2,B11,B,11,1,C,EPCAM+,31.0,True,Suprabasal Epithelial,1124900.0,7399,1124900.0,75560.0,6.717042,129948.0,11.55196,0,0,3,-0.1608112897331565,-0.1861986368037453,G1,0.981987939407063,0.5832475034855307,-0.05102439145557582,-0.05329562974472841,0.0022712382891525856,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.8709567,0.8709567,6.717042,11.55196
cu01_p1r1B7,cu01,p1,cu01_p1,B7,B,7,1,B,EPCAM+,25.0,True,Basal Epithelial,1314627.0,7514,1314627.0,143507.0,10.916177,176871.0,13.4540825,0,0,9,-0.14811493260805036,-0.20690111379180062,G1,0.35272663604457144,0.998737671310082,-0.06712150164879858,-0.09550375603760282,0.028382254388804234,9,9,Basal Epithelial,Basal Epithelial,0.09171587,0.09171587,10.916177,13.4540825
cu02_p1r4O6,cu02,p1,cu02_p1,O6,O,6,4,3,EPCAM+,24.0,True,Suprabasal Epithelial,1116295.0,6048,1116295.0,68868.0,6.1693373,206400.0,18.489737,0,0,10,-0.19058275199606656,-0.1956967741774221,G1,1.05263694341919,0.44000783552974465,-0.06257767032831907,-0.06207667363186677,-0.0005009966964522952,10,10,Suprabasal Epithelial,Suprabasal Epithelial,0.7604846,0.7604846,6.1693373,18.489737
cu02_p3r3K15,cu02,p3,cu02_p3,K15,K,15,3,2,EPCAM+,34.0,True,,205537.0,7765,205537.0,23155.0,11.265612,8009.0,3.896622,0,0,0,-0.07012974851234038,-0.18455300118088477,G1,0.7515448790937662,0.665693122714758,-0.12733303736895324,-0.17278985371192296,0.04545681634296972,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.82459426,0.82459426,11.265612,3.896622
cu02_p2r2G21,cu02,p2,cu02_p2,G21,G,21,2,1,EPCAM+,37.0,True,Proliferative Basal Epithelial,595969.0,7364,595969.0,63588.0,10.6696825,60583.0,10.165462,0,0,1,-0.2546058394452805,1.0374162188497023,G2M,0.3994514482209788,1.4419207840934396,-0.09818938052281738,-0.140783476891617,0.042594096368799614,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.62995034,0.62995034,10.6696825,10.165462
cu01_p1r2G21,cu01,p1,cu01_p1,G21,G,21,2,B,EPCAM+,25.0,True,Suprabasal Epithelial,1811168.0,8021,1811168.0,134865.0,7.4462996,212864.0,11.752858,0,0,4,0.10493901722968357,-0.14953337335936048,S,0.5850434324395131,0.755850275248289,-0.0656931622698903,-0.030851176735013724,-0.03484198553487658,4,4,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.44818392,0.44818392,7.4462996,11.752858
cu03_p2r1C20,cu03,p2,cu03_p2,C20,C,20,1,A,EPCAM+,30.0,True,,499337.0,8944,499337.0,21375.0,4.2806764,43275.0,8.6664915,0,0,1,0.14589661930421,0.720171625209092,G2M,0.6863368672132492,0.8259850577414036,-0.07168143577873706,-0.08327663466334342,0.011595198884606361,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5530435,0.5530435,4.2806764,8.6664915
cu03_p3r3J13,cu03,p3,cu03_p3,J13,J,13,3,B,EPCAM+,27.0,True,,218255.0,3641,218255.0,23477.0,10.756683,21226.0,9.725321,0,0,2,-0.19172143725999588,-0.2082381196995522,G1,0.611547354473787,0.3873602442443371,-0.056607611179351806,-0.06477519010504086,0.008167578925689055,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.60853136,0.60853136,10.756683,9.725321
cu02_p2r1D20,cu02,p2,cu02_p2,D20,D,20,1,1,EPCAM+,37.0,True,Suprabasal Epithelial,696137.0,8441,696137.0,48993.0,7.0378385,72658.0,10.437313,0,0,3,-0.21990481526016897,-0.20693009741959972,G1,1.069049960018081,0.28552527783811094,-0.04847941108047962,-0.04864338863641024,0.0001639775559306167,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.9439136,0.9439136,7.0378385,10.437313
cu03_p2r1C7,cu03,p2,cu03_p2,C7,C,7,1,A,EPCAM+,30.0,True,,651018.0,8711,651018.0,38619.0,5.932094,57400.0,8.81696,0,0,1,0.20164524412979828,0.292004578560079,G2M,0.4988287357240915,1.1891785528361796,-0.07153998430818319,0.010440558095773073,-0.08198054240395626,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5005824,0.5005824,5.932094,8.81696
cu03_p3r3K5,cu03,p3,cu03_p3,K5,K,5,3,B,EPCAM+,27.0,True,,457585.0,4648,457585.0,18980.0,4.1478634,31749.0,6.938383,0,0,1,-0.11731958049176544,0.5645372628433896,G2M,0.7564238226641626,0.6569246951937675,-0.09653270900249482,-0.08696776087085406,-0.009564948131640758,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.56042737,0.56042737,4.1478634,6.938383
cu03_p2r4N13,cu03,p2,cu03_p2,N13,N,13,4,A,EPCAM+,30.0,True,,722710.0,7513,722710.0,55615.0,7.695341,72929.0,10.091046,0,0,0,0.3046066393809659,-0.13939187364591346,S,0.9895258365418105,0.807651989236474,-0.04221487851813435,-0.05009052618096272,0.007875647662828368,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.72382903,0.72382903,7.695341,10.091046
cu03_p1r2H15,cu03,p1,cu03_p1,H15,H,15,2,D,EPCAM+,17.0,True,,1393019.0,2685,1393019.0,172372.0,12.373987,341496.0,24.514812,0,0,2,-0.16850226397296564,-0.08355820832382581,G1,0.38958405895049086,0.31017252055928113,-0.04458166935481131,-0.024760732315480708,-0.0198209370393306,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.6275381,0.6275381,12.373987,24.514812
cu02_p2r2E17,cu02,p2,cu02_p2,E17,E,17,2,1,EPCAM+,37.0,True,Suprabasal Epithelial,977111.0,8982,977111.0,55110.0,5.640096,128977.0,13.199832,0,0,3,-0.23124221379534057,-0.19165637294389562,G1,1.0080309834589851,0.6924968258999289,-0.05160946018993855,-0.0637828247435391,0.012173364553600546,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.9008453,0.9008453,5.640096,13.199832
cu02_p3r2E12,cu02,p3,cu02_p3,E12,E,12,2,4,EPCAM+,21.0,True,,279218.0,6623,279218.0,19832.0,7.1026936,20032.0,7.1743226,0,0,0,-0.09301999546239464,-0.16429592159980969,G1,1.1043653496398647,0.6977859614491464,-0.06419122997671366,-0.08932501760621865,0.025133787629504994,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.6850983,0.6850983,7.1026936,7.1743226
cu01_p2r2F1,cu01,p2,cu01_p2,F1,F,1,2,B,EPCAM+,25.0,True,Proliferative Basal Epithelial,431110.0,4500,431110.0,32467.0,7.5310245,78203.0,18.139917,0,0,1,-0.17717535416838603,0.1855862564336928,G2M,0.7061114366229844,0.3959893532544374,-0.025313919018954037,-0.024553911350667475,-0.0007600076682865615,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.61922926,0.61922926,7.5310245,18.139917
cu01_p1r4M3,cu01,p1,cu01_p1,M3,M,3,4,A,EPCAM+,22.0,True,Proliferative Basal Epithelial,1678549.0,8558,1678549.0,86938.0,5.179354,140016.0,8.341491,0,0,1,-0.08629637668437629,0.6818609470709427,G2M,0.6483562264253987,0.7855975838936865,-0.07018277223687619,-0.09398725215035181,0.023804479913475618,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.65639913,0.65639913,5.179354,8.341491
cu01_p1r2H13,cu01,p1,cu01_p1,H13,H,13,2,,EPCAM+,,False,Terminally Differentiated Epithelial,1753649.0,3912,1753649.0,0.0,0.0,37108.0,2.1160448,0,0,11,-0.23134262067528719,-0.14533140376219167,G1,1.764326471590163,-0.24655577058345077,-0.06676594608463347,-0.07764066503072778,0.010874718946094306,11,11,Terminally Differentiated Epithelial,Terminally Differentiated Epithelial,0.9614429,0.9614429,0.0,2.1160448
cu03_p2r1C4,cu03,p2,cu03_p2,C4,C,4,1,A,EPCAM+,30.0,True,,804014.0,7814,804014.0,50387.0,6.2669306,96061.0,11.947678,0,0,4,0.23389497422629119,-0.15192119956558955,S,0.5288420238981353,0.6540579593777657,-0.08485123509541154,-0.09066507599006096,0.005813840894649425,4,4,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.46665964,0.46665964,6.2669306,11.947678
cu01_p1r2H20,cu01,p1,cu01_p1,H20,H,20,2,B,EPCAM+,25.0,True,Basal Epithelial,1572047.0,8397,1572047.0,179001.0,11.386492,249116.0,15.8466,0,0,9,0.04945659302088046,-0.1955101686623523,S,0.20189889272817352,1.3264770921953022,-0.10045304409693927,-0.08361039356949429,-0.016842650527444977,9,9,Basal Epithelial,Basal Epithelial,0.09639484,0.09639484,11.386492,15.8466
cu03_p2r1C24,cu03,p2,cu03_p2,C24,C,24,1,A,CD45+,30.0,True,,746391.0,3359,746391.0,18372.0,2.4614444,53093.0,7.1132956,0,0,7,-0.07534727791447754,-0.1125291603291791,G1,-0.32104147206575556,0.08301669700443742,-0.09304424867033959,-0.054206607863307,-0.038837640807032586,7,t0,CD4+ T Cell,CD4+ T Cell,,,2.4614444,7.1132956
cu02_p3r4O9,cu02,p3,cu02_p3,O9,O,9,4,2,EPCAM+,34.0,True,,364420.0,4167,364420.0,34394.0,9.438011,49551.0,13.597223,0,0,5,-0.2730730364680983,-0.2614600948175763,G1,0.5365812148486867,1.4966832877844571,-0.11287971392273903,-0.10387497256199518,-0.009004741360743848,5,5,Basal Epithelial,Basal Epithelial,0.1803042,0.1803042,9.438011,13.597223
cu01_p2r1C17,cu01,p2,cu01_p2,C17,C,17,1,C,EPCAM+,31.0,True,Proliferative Basal Epithelial,886164.0,7881,886164.0,49499.0,5.5857606,104954.0,11.843632,0,0,0,-0.10720950035241683,0.1438261348147145,G2M,0.6822314229178078,0.6088562702909112,-0.056661442294716834,-0.07400218865523736,0.017340746360520527,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.67467505,0.67467505,5.5857606,11.843632
cu03_p2r2E20,cu03,p2,cu03_p2,E20,E,20,2,A,EPCAM+,30.0,True,,559061.0,7430,559061.0,22828.0,4.0832753,56394.0,10.087271,0,0,0,0.0027859911431237783,-0.20440572593616999,S,0.8441828923505895,1.0362888675630093,-0.06386143825948239,-0.05672057986259461,-0.0071408583968877795,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.6806175,0.6806175,4.0832753,10.087271
cu02_p3r2H10,cu02,p3,cu02_p3,H10,H,10,2,2,EPCAM+,34.0,True,,264970.0,8462,264970.0,10759.0,4.0604596,21778.0,8.219044,0,0,3,-0.2521245802595013,-0.2037288093079741,G1,1.2203120273369201,0.12569748741388326,-0.08037932865321636,-0.08827084307869275,0.007891514425476392,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.9839629,0.9839629,4.0604596,8.219044
cu02_p1r4N7,cu02,p1,cu02_p1,N7,N,7,4,3,EPCAM+,24.0,True,Suprabasal Epithelial,1282483.0,7498,1282483.0,70008.0,5.458786,145609.0,11.353679,0,0,3,-0.22469123172613847,-0.14441352068372376,G1,1.2672000128613674,0.42776862885057926,-0.05488784531131387,-0.03710739951580763,-0.017780445795506236,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.92713255,0.92713255,5.458786,11.353679
cu02_p3r2F21,cu02,p3,cu02_p3,F21,F,21,2,4,EPCAM+,21.0,True,,238931.0,6692,238931.0,18983.0,7.944971,14270.0,5.9724355,0,0,0,-0.19131213500433727,-0.007034300933950244,G1,0.8089406624471439,0.8142940231263638,-0.07812604300677777,-0.07709092239538828,-0.0010351206113894812,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.6636353,0.6636353,7.944971,5.9724355
cu02_p1r1D20,cu02,p1,cu02_p1,D20,D,20,1,3,EPCAM+,24.0,True,Suprabasal Epithelial,1344720.0,8599,1344720.0,88285.0,6.565307,155420.0,11.5577965,0,0,3,-0.24850792709077452,-0.19305472771152934,G1,1.1637805280310705,0.5579669011197985,-0.0513111427705735,-0.061691340891023475,0.010380198120449977,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.9283703,0.9283703,6.565307,11.5577965
cu02_p3r3I3,cu02,p3,cu02_p3,I3,I,3,3,2,EPCAM+,34.0,True,,540833.0,7422,540833.0,28481.0,5.266136,58308.0,10.781147,0,0,0,-0.17501640233460974,-0.22247798639160302,G1,0.6360812088855927,0.7743795605599881,-0.0564631973952055,-0.08181721935669581,0.02535402196149031,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.57523453,0.57523453,5.266136,10.781147
cu02_p1r4O7,cu02,p1,cu02_p1,O7,O,7,4,3,EPCAM+,24.0,True,Proliferative Basal Epithelial,971009.0,7470,971009.0,55535.0,5.7193084,138344.0,14.247447,0,0,1,-0.027490108541925296,0.9772510458203543,G2M,0.4621494472184603,0.47666740390658374,-0.10011402405798435,-0.08211500816047192,-0.017999015897512433,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5913092,0.5913092,5.7193084,14.247447
cu01_p1r4O16,cu01,p1,cu01_p1,O16,O,16,4,B,EPCAM+,25.0,True,Basal Epithelial,1918143.0,7351,1918143.0,186504.0,9.723154,341694.0,17.813791,0,0,9,-0.25793251191508,-0.17733781710158328,G1,0.331689485325971,1.219220662038773,-0.05252706659026444,-0.07260054055601359,0.02007347396574915,9,9,Basal Epithelial,Basal Epithelial,0.097503595,0.097503595,9.723154,17.813791
cu01_p2r3J12,cu01,p2,cu01_p2,J12,J,12,3,C,EPCAM+,31.0,True,Basal Epithelial,745381.0,6477,745381.0,73378.0,9.844361,153957.0,20.654806,0,0,5,-0.17521800106182514,-0.15502840629842765,G1,0.17526920180285682,0.9298592858426273,-0.041119520347565414,-0.09151321501160661,0.0503936946640412,5,5,Basal Epithelial,Basal Epithelial,0.14938746,0.14938746,9.844361,20.654806
cu01_p1r4M15,cu01,p1,cu01_p1,M15,M,15,4,B,EPCAM+,25.0,True,Basal Epithelial,1490186.0,7788,1490186.0,194088.0,13.024415,256665.0,17.223688,0,0,9,-0.25050189274809465,-0.20508119955391543,G1,0.2708158482228789,0.9014470320995898,-0.07063849524129182,-0.08557593529112636,0.01493744004983455,9,9,Basal Epithelial,Basal Epithelial,0.08457975,0.08457975,13.024415,17.223688
cu02_p1r4M15,cu02,p1,cu02_p1,M15,M,15,4,3,EPCAM+,24.0,True,Suprabasal Epithelial,1255494.0,6159,1255494.0,114579.0,9.126208,163646.0,13.034391,0,0,0,-0.1703110577508478,-0.18930512313906275,G1,1.0200876138102921,0.5832418857812882,-0.0682884709071368,-0.08355200537790855,0.01526353447077175,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.65044093,0.65044093,9.126208,13.034391
cu02_p2r2F5,cu02,p2,cu02_p2,F5,F,5,2,1,EPCAM+,37.0,True,Suprabasal Epithelial,584002.0,7778,584002.0,42579.0,7.2908998,67456.0,11.550646,0,0,3,-0.25499209753365193,-0.24192588746990332,G1,1.1596192160928074,0.5709163825437427,-0.05000945709645748,-0.09074202377349139,0.040732566677033906,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.9039797,0.9039797,7.2908998,11.550646
cu01_p2r1A12,cu01,p2,cu01_p2,A12,A,12,1,C,EPCAM+,31.0,True,Basal Epithelial,512744.0,5722,512744.0,75050.0,14.636934,74764.0,14.581156,0,0,8,-0.24245192164308624,-0.19603649798427597,G1,0.3943528232416686,1.2944272451251746,-0.05403221944347024,-0.08996905385206143,0.03593683440859119,8,8,Basal Epithelial,Basal Epithelial,0.17531574,0.17531574,14.636934,14.581156
cu03_p2r3I6,cu03,p2,cu03_p2,I6,I,6,3,A,EPCAM+,30.0,True,,492293.0,6967,492293.0,27153.0,5.515618,39605.0,8.045006,0,0,2,0.052979399543064576,0.053781965929774356,G2M,0.6919230282582782,0.9672551662772895,-0.04674665570259094,-0.05174796766291062,0.005001311960319679,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.4059282,0.4059282,5.515618,8.045006
cu03_p2r2H8,cu03,p2,cu03_p2,H8,H,8,2,A,EPCAM+,30.0,True,,948320.0,7440,948320.0,42317.0,4.462312,97010.0,10.22967,0,0,3,-0.1945726418951312,-0.2201786572967559,G1,1.1253071396598484,0.47302842219918967,-0.019594931630417704,-0.003243775293231013,-0.01635115633718669,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.91150886,0.91150886,4.462312,10.22967
cu01_p2r2G18,cu01,p2,cu01_p2,G18,G,18,2,C,EPCAM+,31.0,True,Basal Epithelial,557474.0,6024,557474.0,37018.0,6.64031,81927.0,14.696111,0,0,9,-0.20864186996832151,-0.23631481371262203,G1,0.1831530067434206,1.1192860766202213,-0.0780248094536364,-0.08267552784333626,0.004650718389699854,9,9,Basal Epithelial,Basal Epithelial,0.05986124,0.05986124,6.64031,14.696111
cu03_p4r1A22,cu03,p4,cu03_p4,A22,A,22,1,C,CD45+,20.0,True,,689373.0,1427,689373.0,20352.0,2.9522479,75984.0,11.02219,0,0,12,-0.07183180501530492,-0.06701037061917545,G1,-0.08269132539366975,-0.056143592253327365,-0.0009671059995889664,-0.029885280256470043,0.028918174256881077,k0,k0,Macrophage,Macrophage,,,2.9522479,11.02219
cu02_p2r2H4,cu02,p2,cu02_p2,H4,H,4,2,1,EPCAM+,37.0,True,Proliferative Basal Epithelial,642667.0,8520,642667.0,46172.0,7.1844363,78689.0,12.244133,0,0,1,-0.16702655971998348,1.1708138804114552,G2M,0.28944124306037156,1.137967016223818,-0.10889830675907433,-0.1274213212976853,0.018523014538610966,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.6044722,0.6044722,7.1844363,12.244133
cu02_p1r4N18,cu02,p1,cu02_p1,N18,N,18,4,3,EPCAM+,24.0,True,Suprabasal Epithelial,1073893.0,5982,1073893.0,52412.0,4.8805604,182878.0,17.029444,0,0,0,-0.09188700018280438,-0.15884488550140163,G1,0.7376825351785211,0.4777678460851312,-0.047721130941063165,-0.06444255369404951,0.016721422752986347,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.5967261,0.5967261,4.8805604,17.029444
eso29_p1E5,eso29,p1,eso29_p1,E5,E,5,-1,1,EPCAM+,32.5,True,Basal Epithelial,255404.0,3611,255404.0,22167.0,8.679191,42571.0,16.668102,0,0,5,-0.11268588984637645,-0.17594796417224745,G1,0.5577460723677102,1.414053870394826,-0.026380259841680527,-0.026387917051712673,7.657210032145645e-06,5,5,Basal Epithelial,Basal Epithelial,0.15623629,0.15623629,8.679191,16.668102
cu02_p1r3L18,cu02,p1,cu02_p1,L18,L,18,3,3,EPCAM+,24.0,True,Proliferative Basal Epithelial,872185.0,7356,872185.0,52373.0,6.004804,140371.0,16.094177,0,0,6,0.3950466369760411,-0.09601511363295717,S,0.6187646976150573,0.48108120238780977,-0.08047752026468516,-0.07170930997778972,-0.008768210286895436,6,6,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.4457906,0.4457906,6.004804,16.094177
cu02_p2r2E18,cu02,p2,cu02_p2,E18,E,18,2,1,EPCAM+,37.0,True,Proliferative Basal Epithelial,514635.0,7901,514635.0,50396.0,9.792571,80846.0,15.709387,0,0,6,0.38299520963755823,0.030926717503461987,S,0.47620478926379906,0.7144392002895475,-0.06897727522999048,-0.07858896441757679,0.009611689187586314,6,6,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.4577827,0.4577827,9.792571,15.709387
cu02_p1r3L10,cu02,p1,cu02_p1,L10,L,10,3,3,EPCAM+,24.0,True,Suprabasal Epithelial,466711.0,5780,466711.0,29887.0,6.4037485,72029.0,15.433319,0,0,0,-0.21283855163346907,-0.206592670425,G1,0.8799964604364598,0.8122744758203626,-0.09378238756209611,-0.06887889344245196,-0.024903494119644154,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.7221161,0.7221161,6.4037485,15.433319
cu02_p3r4O10,cu02,p3,cu02_p3,O10,O,10,4,2,EPCAM+,34.0,True,,566345.0,6410,566345.0,33972.0,5.998464,69784.0,12.321817,0,0,0,-0.19719509528744028,-0.1988941428730019,G1,1.120220723164432,0.5624174717515706,-0.05380712371319532,-0.05338743435839812,-0.00041968935479719943,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.7732427,0.7732427,5.998464,12.321817
cu03_p2r3K15,cu03,p2,cu03_p2,K15,K,15,3,A,EPCAM+,30.0,True,,589275.0,6550,589275.0,50205.0,8.519791,74547.0,12.65063,0,0,0,-0.2508383206371706,-0.18256177465306023,G1,0.6288038865178823,0.5318655475303531,-0.04442491138353944,-0.06280053112655878,0.018375619743019343,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.82913584,0.82913584,8.519791,12.65063
cu03_p4r4O20,cu03,p4,cu03_p4,O20,O,20,4,C,EPCAM+,20.0,True,,1131876.0,2447,1131876.0,96266.0,8.504995,206926.0,18.281685,0,0,2,-0.09931159546795285,-0.04013912036380435,G1,0.710576550217455,0.2959721057899296,-0.032480157716199755,-0.009726809455702702,-0.022753348260497054,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.5304201,0.5304201,8.504995,18.281685
cu02_p1r1C16,cu02,p1,cu02_p1,C16,C,16,1,3,EPCAM+,24.0,True,Proliferative Basal Epithelial,1209119.0,8115,1209119.0,59357.0,4.9091115,191417.0,15.831113,0,0,6,0.16452523065600638,0.6198497189677085,G2M,0.6809047913349725,0.6798984099626542,-0.07333853606134653,-0.0889203185091416,0.015581782447795067,6,6,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5812771,0.5812771,4.9091115,15.831113
cu02_p1r2H3,cu02,p1,cu02_p1,H3,H,3,2,3,EPCAM+,24.0,True,Proliferative Basal Epithelial,896360.0,7697,896360.0,52863.0,5.897519,116208.0,12.964434,0,0,6,0.39764647905057643,0.5516168876009953,G2M,0.5636363674108595,0.4808587184771896,-0.10500945299863815,-0.11025453989704449,0.005245086898406345,6,6,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5833823,0.5833823,5.897519,12.964434
cu03_p3r1C22,cu03,p3,cu03_p3,C22,C,22,1,B,CD45+,27.0,True,,382425.0,1686,382425.0,15242.0,3.985618,56109.0,14.671896,0,0,7,-0.18882999882886284,0.07304722326551819,G2M,0.05675740410650476,0.08475198665261272,-0.062112500965595244,1.196717096765836,-1.2588295977314312,7,t0,CD4+ T Cell,CD4+ T Cell,,,3.985618,14.671896
cu01_p2r3K14,cu01,p2,cu01_p2,K14,K,14,3,C,EPCAM+,31.0,True,Basal Epithelial,773996.0,7278,773996.0,80776.0,10.43623,162825.0,21.03693,0,0,5,0.01356935443604479,-0.14754191987506873,S,0.3038098296143991,0.7418894250802694,-0.06217796288430691,-0.09695058727636933,0.034772624392062426,5,5,Basal Epithelial,Basal Epithelial,0.03656983,0.03656983,10.43623,21.03693
cu03_p2r2E5,cu03,p2,cu03_p2,E5,E,5,2,A,EPCAM+,30.0,True,,606901.0,8454,606901.0,21209.0,3.4946394,55671.0,9.172996,0,0,3,-0.2041882131028879,-0.21968682367766562,G1,0.814649190827766,0.5309656727388501,-0.0522310683503747,-0.04697296125193437,-0.00525810709844033,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.92553324,0.92553324,3.4946394,9.172996
cu02_p3r2H3,cu02,p3,cu02_p3,H3,H,3,2,2,EPCAM+,34.0,True,,429638.0,8604,429638.0,22834.0,5.314707,31489.0,7.3291936,0,0,6,0.5644021027539614,0.06322550874428595,S,0.7723005368968142,0.619613079547882,-0.07572342386469245,-0.08962524333347877,0.013901819468786311,6,6,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5221482,0.5221482,5.314707,7.3291936
cu03_p1r1A5,cu03,p1,cu03_p1,A5,A,5,1,,EPCAM+,,False,,274274.0,1673,274274.0,15756.0,5.7446203,92766.0,33.82238,0,0,2,0.011030544181634225,-0.022621939858104415,S,0.8424556562462275,0.25146579879522324,-0.011694954968988895,-0.01537578783929348,0.0036808328703045855,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.608253,0.608253,5.7446203,33.82238
cu02_p1r2E11,cu02,p1,cu02_p1,E11,E,11,2,3,EPCAM+,24.0,True,Suprabasal Epithelial,763344.0,7832,763344.0,66524.0,8.714813,87533.0,11.467045,0,0,0,-0.174706430814814,-0.20548231232525002,G1,0.9458000225525569,0.471973709858954,-0.06566176388412714,-0.07662843029946088,0.01096666641533374,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.7403898,0.7403898,8.714813,11.467045
cu01_p1r1B19,cu01,p1,cu01_p1,B19,B,19,1,B,EPCAM+,25.0,True,Basal Epithelial,1399058.0,7085,1399058.0,155746.0,11.132204,260331.0,18.607592,0,0,9,-0.09969367721704964,-0.1894463413367163,G1,0.22804589625623295,0.731880592547357,-0.08038216485176236,-0.08719989522360265,0.006817730371840289,9,9,Basal Epithelial,Basal Epithelial,0.103502676,0.103502676,11.132204,18.607592
cu01_p2r3I21,cu01,p2,cu01_p2,I21,I,21,3,D,CD45+,34.0,True,CD8+ T Cell,434058.0,3326,434058.0,21883.0,5.041492,49022.0,11.293882,0,0,7,-0.1516364379065554,-0.13738766466881464,G1,-0.2331580695128616,-0.22591760113835335,1.0713594948872924,0.07982797551900149,0.991531519368291,7,t1,CD8+ T Cell,CD8+ T Cell,,,5.041492,11.293882
cu03_p1r2H4,cu03,p1,cu03_p1,H4,H,4,2,D,EPCAM+,17.0,True,,634166.0,4054,634166.0,11182.0,1.7632607,114621.0,18.07429,0,0,2,-0.09099714891926917,-0.10528550981761436,G1,0.7073692834504387,0.7539394498094917,-0.004635090455412865,-0.007049794706205527,0.002414704250792662,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.37407413,0.37407413,1.7632607,18.07429
cu01_p2r3L10,cu01,p2,cu01_p2,L10,L,10,3,C,EPCAM+,31.0,True,Suprabasal Epithelial,1322295.0,7391,1322295.0,96449.0,7.294061,130511.0,9.870037,0,0,3,-0.2352904609529063,-0.22791382545511918,G1,1.3571374898178172,0.6328378686979413,-0.04854549360927194,-0.04466621867070596,-0.003879274938565984,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.92525595,0.92525595,7.294061,9.870037
cu02_p1r3K9,cu02,p1,cu02_p1,K9,K,9,3,3,EPCAM+,24.0,True,Suprabasal Epithelial,779623.0,6005,779623.0,81332.0,10.432221,124089.0,15.91654,0,0,4,-0.022104916754069448,-0.17583405839984184,G1,0.4753143857502762,0.8349599884487688,-0.051481746220961216,-0.06250202512368559,0.011020278902724376,4,4,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.49341983,0.49341983,10.432221,15.91654
