,sample,plate,batch,well,row,col,replicate,region,sort,cm.from.mouth,Paired DNA,prior_cell_type,n_counts,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,total_counts_ribo,pct_counts_ribo,_scvi_batch,_scvi_labels,leiden,S_score,G2M_score,phase,esophageal_diff_score,basal_epithelial_score,cd8_score,cd4_score,cd8_cd4_score,leiden2,leiden3,cell_type,Cell Type,dpt_pseudotime,Diffusion Pseudotime,% MT,% ribo
cu02_p2r3J1,cu02,p2,cu02_p2,J1,J,1,3,1,EPCAM+,37.0,True,Suprabasal Epithelial,653269.0,7943,653269.0,43099.0,6.5974355,78154.0,11.963525,0,0,3,-0.1971299365862243,-0.20159685009947192,G1,0.9730368876100026,0.4725780210867524,-0.04868429142050445,-0.06069261389474074,0.012008322474236291,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.85390234,0.85390234,6.5974355,11.963525
cu02_p2r1B3,cu02,p2,cu02_p2,B3,B,3,1,1,EPCAM+,37.0,True,Suprabasal Epithelial,1030215.0,7758,1030215.0,71986.0,6.9874735,134754.0,13.080183,0,0,0,-0.2673087627224846,-0.23300564149106792,G1,0.871918878963765,0.4269605042487383,-0.044499711282551285,-0.0818283164439102,0.03732860516135891,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.7058568,0.7058568,6.9874735,13.080183
cu03_p3r4O18,cu03,p3,cu03_p3,O18,O,18,4,B,EPCAM+,27.0,True,,962299.0,5253,962299.0,32009.0,3.326305,96623.0,10.040851,0,0,10,-0.18749400632535307,-0.23435848418931515,G1,0.8328942367327125,0.5385844134651125,-0.08519015569239854,-0.10626037063077093,0.021070214938372384,10,10,Suprabasal Epithelial,Suprabasal Epithelial,0.75621057,0.75621057,3.326305,10.040851
cu03_p2r1A8,cu03,p2,cu03_p2,A8,A,8,1,A,EPCAM+,30.0,True,,668287.0,9542,668287.0,37435.0,5.601635,56854.0,8.507422,0,0,1,0.09592728953219487,0.9241958266798315,G2M,0.5230462058655478,1.1621764612942935,-0.08154140379279852,-0.04209997149805228,-0.03944143229474624,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5560271,0.5560271,5.601635,8.507422
cu01_p1r2G23,cu01,p1,cu01_p1,G23,G,23,2,B,EPCAM+,25.0,True,Basal Epithelial,1647129.0,7679,1647129.0,203567.0,12.358899,290490.0,17.63614,0,0,5,-0.22228992464159622,-0.24576995812486319,G1,0.37536576166749,1.3974174845125527,-0.06903420663438738,-0.07697979466989636,0.007945588035508988,5,5,Basal Epithelial,Basal Epithelial,0.12519315,0.12519315,12.358899,17.63614
cu02_p1r1A3,cu02,p1,cu02_p1,A3,A,3,1,3,EPCAM+,24.0,True,Basal Epithelial,823853.0,7758,823853.0,94241.0,11.439055,132703.0,16.107607,0,0,9,0.33717425421759234,-0.15297553380170917,S,0.2279482450636432,0.9327972385585308,-0.10027398434467613,-0.10756761387611428,0.007293629531438153,9,9,Basal Epithelial,Basal Epithelial,0.11639296,0.11639296,11.439055,16.107607
cu02_p3r3L13,cu02,p3,cu02_p3,L13,L,13,3,2,EPCAM+,34.0,True,,335073.0,8645,335073.0,15602.0,4.6562986,25441.0,7.592674,0,0,3,-0.15292322899217684,-0.21065314018019157,G1,1.0133294473215937,0.29372462863475085,-0.0631732110120356,-0.07942523286988337,0.01625202185784777,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.9489903,0.9489903,4.6562986,7.592674
cu02_p1r2F19,cu02,p1,cu02_p1,F19,F,19,2,3,EPCAM+,24.0,True,Proliferative Basal Epithelial,849826.0,8016,849826.0,57100.0,6.7190223,100239.0,11.7952385,0,0,1,-0.1384617874759983,0.9869426975428423,G2M,0.6811712192761546,0.4356586819440126,-0.07173899009823799,-0.08420336653788885,0.012464376439650857,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.63824946,0.63824946,6.7190223,11.7952385
cu03_p3r1B12,cu03,p3,cu03_p3,B12,B,12,1,B,EPCAM+,27.0,True,,618997.0,5306,618997.0,54716.0,8.839461,68637.0,11.088422,0,0,5,0.08734802771414851,-0.149290108902298,S,0.33699921130783417,1.31154338131845,-0.09199173137545585,-0.08081252711514632,-0.011179204260309536,5,5,Basal Epithelial,Basal Epithelial,0.079411685,0.079411685,8.839461,11.088422
cu03_p2r3I20,cu03,p2,cu03_p2,I20,I,20,3,A,EPCAM+,30.0,True,,651381.0,6751,651381.0,44468.0,6.8267264,70864.0,10.87904,0,0,0,-0.08117687665575368,-0.09833484799486,G1,0.6378563012745888,0.8139891643114389,-0.03140873164869845,-0.08231619510799647,0.050907463459298016,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.6388903,0.6388903,6.8267264,10.87904
cu03_p2r1A23,cu03,p2,cu03_p2,A23,A,23,1,A,CD45+,30.0,True,,629232.0,2655,629232.0,25023.0,3.9767525,38885.0,6.1797557,0,0,7,-0.08076637631376002,-0.16716648369213916,G1,-0.28076203145086764,0.11580726376175879,1.786896403171122,0.7936688970277708,0.9932275061433513,7,t1,CD8+ T Cell,CD8+ T Cell,,,3.9767525,6.1797557
cu01_p2r1A4,cu01,p2,cu01_p2,A4,A,4,1,B,EPCAM+,25.0,True,Suprabasal Epithelial,443683.0,6032,443683.0,40730.0,9.179977,53281.0,12.008799,0,0,10,-0.08113086357709348,-0.0909208788844798,G1,0.9841963353332353,0.5299094350785016,-0.030532329827547073,-0.02275086594124635,-0.007781463886300723,10,10,Suprabasal Epithelial,Suprabasal Epithelial,0.7499734,0.7499734,9.179977,12.008799
cu03_p2r1D18,cu03,p2,cu03_p2,D18,D,18,1,A,EPCAM+,30.0,True,,695595.0,8205,695595.0,44372.0,6.378999,77681.0,11.167562,0,0,5,0.01668622342143511,-0.2530923908778497,S,0.49418229760711674,1.3088208572939037,-0.1039500930532813,-0.09746292271961768,-0.006487170333663625,5,5,Basal Epithelial,Basal Epithelial,0.13721143,0.13721143,6.378999,11.167562
