,cell_type
cu01_p1r2H2,Proliferative Basal Epithelial
cu01_p1r3K9,Suprabasal Epithelial
cu01_p1r3K16,Basal Epithelial
cu01_p1r2H13,Terminally Differentiated Epithelial
cu01_p1r1D24,Basal Epithelial
cu01_p1r3K22,Suprabasal Epithelial
cu01_p1r3I12,Terminally Differentiated Epithelial
cu01_p1r2E8,Terminally Differentiated Epithelial
cu01_p1r3L14,Proliferative Basal Epithelial
cu01_p1r4N16,Suprabasal Epithelial
cu01_p1r4N11,Basal Epithelial
cu01_p1r1D8,Basal Epithelial
cu01_p1r4N12,Proliferative Basal Epithelial
cu01_p1r1A9,Proliferative Basal Epithelial
cu01_p1r3I2,Proliferative Basal Epithelial
cu01_p1r1D15,Basal Epithelial
cu01_p1r2G3,Terminally Differentiated Epithelial
cu01_p1r3I15,Proliferative Basal Epithelial
cu01_p1r1B23,Proliferative Basal Epithelial
cu01_p1r3J23,Suprabasal Epithelial
cu01_p1r3K7,Suprabasal Epithelial
cu01_p1r4N23,Suprabasal Epithelial
cu01_p1r4M18,Terminally Differentiated Epithelial
cu01_p1r1B13,Suprabasal Epithelial
cu01_p1r4M15,Basal Epithelial
cu01_p1r2E21,Proliferative Basal Epithelial
cu01_p1r1A15,Basal Epithelial
cu01_p1r2E13,Proliferative Basal Epithelial
cu01_p1r1D4,Basal Epithelial
cu01_p1r2E18,Proliferative Basal Epithelial
cu01_p1r4O11,Basal Epithelial
cu01_p1r1A20,Basal Epithelial
cu01_p1r1B7,Basal Epithelial
cu01_p1r4O12,Suprabasal Epithelial
cu01_p1r3J24,Suprabasal Epithelial
cu01_p1r1C1,Terminally Differentiated Epithelial
cu01_p1r2H15,Basal Epithelial
cu01_p1r2F14,Suprabasal Epithelial
cu01_p1r3L12,Suprabasal Epithelial
cu01_p1r3L21,Suprabasal Epithelial
cu01_p1r4N7,Basal Epithelial
cu01_p1r4N19,Suprabasal Epithelial
cu01_p1r3K19,Basal Epithelial
cu01_p1r2G21,Suprabasal Epithelial
cu01_p1r3I10,Basal Epithelial
cu01_p1r4M10,Proliferative Basal Epithelial
cu01_p1r3J6,Proliferative Basal Epithelial
cu01_p1r4O14,Basal Epithelial
cu01_p1r4O23,Basal Epithelial
cu01_p1r2F23,Basal Epithelial
cu01_p1r3K12,Basal Epithelial
cu01_p1r1C23,Basal Epithelial
cu01_p1r4O20,Suprabasal Epithelial
cu01_p1r1D17,Basal Epithelial
cu01_p1r3I19,Proliferative Basal Epithelial
cu01_p1r2E10,Basal Epithelial
cu01_p1r3I17,Terminally Differentiated Epithelial
cu01_p1r1B18,Proliferative Basal Epithelial
cu01_p1r4N10,Basal Epithelial
cu01_p1r1B21,Terminally Differentiated Epithelial
cu01_p1r3J22,Basal Epithelial
cu01_p1r1C24,Basal Epithelial
cu01_p1r4M2,Proliferative Basal Epithelial
cu01_p1r2E15,Suprabasal Epithelial
cu01_p1r2E2,Suprabasal Epithelial
cu01_p1r4O4,Terminally Differentiated Epithelial
cu01_p1r1A14,Suprabasal Epithelial
cu01_p1r1A10,Suprabasal Epithelial
cu01_p1r3J14,Basal Epithelial
cu01_p1r2F13,Basal Epithelial
cu01_p1r3I3,Basal Epithelial
cu01_p1r4N14,Basal Epithelial
cu01_p1r3I5,Basal Epithelial
cu01_p1r3I18,Basal Epithelial
cu01_p1r1B14,Suprabasal Epithelial
cu01_p1r2G19,Basal Epithelial
cu01_p1r3J20,Basal Epithelial
cu01_p1r1C6,Suprabasal Epithelial
cu01_p1r1C9,Basal Epithelial
cu01_p1r1D9,Basal Epithelial
cu01_p1r1A21,Basal Epithelial
cu01_p1r1C18,Basal Epithelial
cu01_p1r4O22,Basal Epithelial
cu01_p1r3K21,Basal Epithelial
cu01_p1r4M13,Basal Epithelial
cu01_p1r1D6,Terminally Differentiated Epithelial
cu01_p1r1A4,Proliferative Basal Epithelial
cu01_p1r1C14,Basal Epithelial
cu01_p1r3J15,Suprabasal Epithelial
cu01_p1r2E4,Terminally Differentiated Epithelial
cu01_p1r1C19,Proliferative Basal Epithelial
cu01_p1r3J16,Basal Epithelial
cu01_p1r1D22,Basal Epithelial
cu01_p1r3J17,Proliferative Basal Epithelial
cu01_p1r1C20,Proliferative Basal Epithelial
cu01_p1r2E23,Basal Epithelial
cu01_p1r1A16,Suprabasal Epithelial
cu01_p1r3I9,Basal Epithelial
cu01_p1r3I7,Suprabasal Epithelial
cu01_p1r3L20,Suprabasal Epithelial
cu01_p1r1D13,Proliferative Basal Epithelial
cu01_p1r2E17,Terminally Differentiated Epithelial
cu01_p1r2F3,Terminally Differentiated Epithelial
cu01_p1r1B3,Proliferative Basal Epithelial
cu01_p1r1B19,Basal Epithelial
cu01_p1r2H5,Suprabasal Epithelial
cu01_p1r2H8,Suprabasal Epithelial
cu01_p1r3K11,Basal Epithelial
cu01_p1r1B12,Suprabasal Epithelial
cu01_p1r2H7,Basal Epithelial
cu01_p1r1C7,Suprabasal Epithelial
