,cell_type
cu02_p1r2F23,CD4+ T Cell
cu02_p1r2F2,Suprabasal Epithelial
cu02_p1r2H3,Proliferative Basal Epithelial
cu02_p1r2G7,Proliferative Basal Epithelial
cu02_p1r1B11,Basal Epithelial
cu02_p1r1D7,Suprabasal Epithelial
cu02_p1r1C6,Suprabasal Epithelial
cu02_p1r1D14,Terminally Differentiated Epithelial
cu02_p1r2F5,Basal Epithelial
cu02_p1r3J8,Basal Epithelial
cu02_p1r4M1,Terminally Differentiated Epithelial
cu02_p1r1C21,Suprabasal Epithelial
cu02_p1r1A14,Suprabasal Epithelial
cu02_p1r3L16,Suprabasal Epithelial
cu02_p1r4M3,Suprabasal Epithelial
cu02_p1r1D19,Suprabasal Epithelial
cu02_p1r2G23,CD4+ T Cell
cu02_p1r2G4,Suprabasal Epithelial
cu02_p1r4O5,Suprabasal Epithelial
cu02_p1r2H23,CD8+ T Cell
cu02_p1r3K6,Proliferative Basal Epithelial
cu02_p1r3I9,Terminally Differentiated Epithelial
cu02_p1r3L7,Proliferative Basal Epithelial
cu02_p1r2F1,Proliferative Basal Epithelial
cu02_p1r4M13,Suprabasal Epithelial
cu02_p1r1D1,Proliferative Basal Epithelial
cu02_p1r3K1,Terminally Differentiated Epithelial
cu02_p1r2E21,Suprabasal Epithelial
cu02_p1r3L12,Suprabasal Epithelial
cu02_p1r3L5,Suprabasal Epithelial
cu02_p1r3L14,Basal Epithelial
cu02_p1r2H6,Basal Epithelial
cu02_p1r1C24,CD8+ T Cell
cu02_p1r4N1,Terminally Differentiated Epithelial
cu02_p1r1C13,Suprabasal Epithelial
cu02_p1r4N7,Suprabasal Epithelial
cu02_p1r1A17,Proliferative Basal Epithelial
cu02_p1r3K13,Suprabasal Epithelial
cu02_p1r4N15,Proliferative Basal Epithelial
cu02_p1r2E16,Proliferative Basal Epithelial
cu02_p1r2G10,Suprabasal Epithelial
cu02_p1r3J6,Terminally Differentiated Epithelial
cu02_p1r4M12,Suprabasal Epithelial
cu02_p1r1C14,Proliferative Basal Epithelial
cu02_p1r2H10,Suprabasal Epithelial
cu02_p1r1B15,Suprabasal Epithelial
cu02_p1r3L10,Suprabasal Epithelial
cu02_p1r2E19,Basal Epithelial
cu02_p1r2E14,Proliferative Basal Epithelial
cu02_p1r1B1,Proliferative Basal Epithelial
cu02_p1r2F8,Suprabasal Epithelial
cu02_p1r4M5,Suprabasal Epithelial
cu02_p1r2F10,Proliferative Basal Epithelial
cu02_p1r3K18,Proliferative Basal Epithelial
cu02_p1r2F15,Proliferative Basal Epithelial
cu02_p1r1D23,CD4+ T Cell
cu02_p1r4M22,Basal Epithelial
cu02_p1r1C5,Proliferative Basal Epithelial
cu02_p1r2F17,Proliferative Basal Epithelial
cu02_p1r4O22,CD8+ T Cell
cu02_p1r1D20,Suprabasal Epithelial
cu02_p1r4N21,Suprabasal Epithelial
cu02_p1r1A22,Suprabasal Epithelial
cu02_p1r2E18,Suprabasal Epithelial
cu02_p1r1B14,Proliferative Basal Epithelial
cu02_p1r1B5,Suprabasal Epithelial
cu02_p1r2G2,Basal Epithelial
cu02_p1r4O8,Proliferative Basal Epithelial
cu02_p1r1D9,Suprabasal Epithelial
cu02_p1r3I23,CD4+ T Cell
cu02_p1r4O21,Suprabasal Epithelial
cu02_p1r3L1,Suprabasal Epithelial
cu02_p1r3K20,Proliferative Basal Epithelial
cu02_p1r3L8,Suprabasal Epithelial
cu02_p1r2F21,Suprabasal Epithelial
cu02_p1r2F9,Suprabasal Epithelial
cu02_p1r4M2,Proliferative Basal Epithelial
cu02_p1r4M10,Terminally Differentiated Epithelial
cu02_p1r3J13,Suprabasal Epithelial
cu02_p1r2G24,CD8+ T Cell
cu02_p1r1B8,Suprabasal Epithelial
cu02_p1r3J14,Suprabasal Epithelial
cu02_p1r1C7,Suprabasal Epithelial
cu02_p1r2H15,Suprabasal Epithelial
cu02_p1r4M4,Proliferative Basal Epithelial
cu02_p1r2H13,Basal Epithelial
cu02_p1r2H17,Proliferative Basal Epithelial
cu02_p1r2F20,Suprabasal Epithelial
cu02_p1r4M19,Proliferative Basal Epithelial
cu02_p1r1A15,Proliferative Basal Epithelial
cu02_p1r2F3,Terminally Differentiated Epithelial
cu02_p1r3K22,CD8+ T Cell
cu02_p1r3K5,Suprabasal Epithelial
cu02_p1r1B17,Suprabasal Epithelial
cu02_p1r4M23,CD4+ T Cell
cu02_p1r3L24,CD4+ T Cell
cu02_p1r1C10,Basal Epithelial
cu02_p1r2E4,Suprabasal Epithelial
cu02_p1r1C12,Proliferative Basal Epithelial
cu02_p1r2G9,Basal Epithelial
cu02_p1r2E7,Suprabasal Epithelial
cu02_p1r2F12,Terminally Differentiated Epithelial
cu02_p1r3K11,Suprabasal Epithelial
cu02_p1r4O3,Suprabasal Epithelial
cu02_p1r3L4,Suprabasal Epithelial
cu02_p1r3I21,Suprabasal Epithelial
cu02_p1r2G18,Suprabasal Epithelial
cu02_p1r3L11,Suprabasal Epithelial
cu02_p1r2F22,CD4+ T Cell
cu02_p1r2F11,Suprabasal Epithelial
cu02_p1r1A16,Basal Epithelial
cu02_p1r1D22,Mast Cell
cu02_p1r4O11,Proliferative Basal Epithelial
cu02_p1r2E17,Proliferative Basal Epithelial
cu02_p1r4O12,Suprabasal Epithelial
cu02_p1r3J11,Proliferative Basal Epithelial
cu02_p1r3J12,Basal Epithelial
cu02_p1r4M9,Suprabasal Epithelial
cu02_p1r3I18,Basal Epithelial
cu02_p1r2F18,Proliferative Basal Epithelial
cu02_p1r3K23,CD8+ T Cell
cu02_p1r3J22,CD8+ T Cell
cu02_p1r1B22,CD8+ T Cell
cu02_p1r2H19,Proliferative Basal Epithelial
cu02_p1r3L2,Proliferative Basal Epithelial
cu02_p1r2G16,Terminally Differentiated Epithelial
cu02_p1r3K15,Suprabasal Epithelial
cu02_p1r4N22,CD8+ T Cell
cu02_p1r2G19,Suprabasal Epithelial
cu02_p1r3J5,Basal Epithelial
cu02_p1r2G21,Terminally Differentiated Epithelial
cu02_p1r3J19,Proliferative Basal Epithelial
cu02_p1r1C22,CD8+ T Cell
cu02_p1r3L6,Proliferative Basal Epithelial
cu02_p1r3J1,Proliferative Basal Epithelial
cu02_p1r2H1,Terminally Differentiated Epithelial
cu02_p1r3J7,Suprabasal Epithelial
cu02_p1r3I12,Basal Epithelial
cu02_p1r4N10,Proliferative Basal Epithelial
cu02_p1r3I19,Suprabasal Epithelial
cu02_p1r1D17,Suprabasal Epithelial
cu02_p1r2G1,Proliferative Basal Epithelial
cu02_p1r2F16,Suprabasal Epithelial
cu02_p1r3I11,Proliferative Basal Epithelial
cu02_p1r3J3,Suprabasal Epithelial
cu02_p1r1B7,Suprabasal Epithelial
cu02_p1r3K24,CD4+ T Cell
cu02_p1r4M11,Terminally Differentiated Epithelial
cu02_p1r2E20,Suprabasal Epithelial
cu02_p1r4O9,Suprabasal Epithelial
cu02_p1r3J15,Proliferative Basal Epithelial
cu02_p1r2E22,Macrophage
cu02_p1r1C15,Basal Epithelial
cu02_p1r1D24,CD8+ T Cell
cu02_p1r1D8,Suprabasal Epithelial
cu02_p1r4O18,Suprabasal Epithelial
cu02_p1r3K7,Suprabasal Epithelial
cu02_p1r1D18,Proliferative Basal Epithelial
cu02_p1r3K3,Proliferative Basal Epithelial
cu02_p1r2E24,CD8+ T Cell
cu02_p1r1C8,Suprabasal Epithelial
cu02_p1r4M21,Proliferative Basal Epithelial
cu02_p1r3I24,CD8+ T Cell
cu02_p1r2G13,Suprabasal Epithelial
cu02_p1r2G14,Proliferative Basal Epithelial
cu02_p1r3J24,CD8+ T Cell
cu02_p1r2E5,Proliferative Basal Epithelial
cu02_p1r2G17,Proliferative Basal Epithelial
cu02_p1r3K16,Suprabasal Epithelial
cu02_p1r2H20,Basal Epithelial
cu02_p1r3I3,Suprabasal Epithelial
cu02_p1r4O7,Proliferative Basal Epithelial
cu02_p1r2F14,Suprabasal Epithelial
cu02_p1r4N4,Basal Epithelial
cu02_p1r4M15,Suprabasal Epithelial
cu02_p1r2H11,Suprabasal Epithelial
cu02_p1r2H4,Proliferative Basal Epithelial
cu02_p1r4O1,Suprabasal Epithelial
cu02_p1r2H12,Suprabasal Epithelial
cu02_p1r2G12,Suprabasal Epithelial
cu02_p1r1A2,Proliferative Basal Epithelial
cu02_p1r1D6,Terminally Differentiated Epithelial
cu02_p1r3J17,Suprabasal Epithelial
cu02_p1r1B16,Proliferative Basal Epithelial
cu02_p1r2H8,Proliferative Basal Epithelial
cu02_p1r1A13,Suprabasal Epithelial
cu02_p1r4N18,Suprabasal Epithelial
cu02_p1r3J4,Suprabasal Epithelial
cu02_p1r4N12,Suprabasal Epithelial
cu02_p1r1A19,Suprabasal Epithelial
cu02_p1r4M8,Suprabasal Epithelial
cu02_p1r4O13,Proliferative Basal Epithelial
cu02_p1r1C4,Proliferative Basal Epithelial
cu02_p1r2G20,Proliferative Basal Epithelial
cu02_p1r1A18,Suprabasal Epithelial
cu02_p1r1D12,Suprabasal Epithelial
cu02_p1r4O20,Suprabasal Epithelial
cu02_p1r1D21,Proliferative Basal Epithelial
cu02_p1r2E23,CD4+ T Cell
cu02_p1r4N20,Suprabasal Epithelial
cu02_p1r1C16,Proliferative Basal Epithelial
cu02_p1r3I4,Suprabasal Epithelial
cu02_p1r2E13,Basal Epithelial
cu02_p1r4M7,Suprabasal Epithelial
cu02_p1r1B20,Basal Epithelial
cu02_p1r4O14,Proliferative Basal Epithelial
cu02_p1r3L13,Proliferative Basal Epithelial
cu02_p1r2G22,CD8+ T Cell
cu02_p1r2E6,Basal Epithelial
cu02_p1r2E8,Proliferative Basal Epithelial
cu02_p1r2G15,Suprabasal Epithelial
cu02_p1r1A6,Suprabasal Epithelial
cu02_p1r1C19,Suprabasal Epithelial
cu02_p1r3I1,Basal Epithelial
cu02_p1r3I10,Suprabasal Epithelial
cu02_p1r4O6,Suprabasal Epithelial
cu02_p1r3L23,Macrophage
cu02_p1r1A10,Suprabasal Epithelial
cu02_p1r1D5,Proliferative Basal Epithelial
cu02_p1r1B19,Terminally Differentiated Epithelial
cu02_p1r2E15,Suprabasal Epithelial
cu02_p1r3I2,Proliferative Basal Epithelial
cu02_p1r3L15,Basal Epithelial
cu02_p1r3I17,Suprabasal Epithelial
cu02_p1r1B6,Basal Epithelial
cu02_p1r1C3,Suprabasal Epithelial
cu02_p1r2H22,CD4+ T Cell
cu02_p1r3K14,Proliferative Basal Epithelial
cu02_p1r1C23,CD8+ T Cell
cu02_p1r4M17,Suprabasal Epithelial
cu02_p1r4N9,Suprabasal Epithelial
cu02_p1r1C17,Suprabasal Epithelial
cu02_p1r1A12,Terminally Differentiated Epithelial
cu02_p1r1B10,Proliferative Basal Epithelial
cu02_p1r3K17,Basal Epithelial
cu02_p1r1D16,Terminally Differentiated Epithelial
cu02_p1r3I6,Suprabasal Epithelial
cu02_p1r3L18,Proliferative Basal Epithelial
cu02_p1r3I15,Suprabasal Epithelial
cu02_p1r2E3,Proliferative Basal Epithelial
cu02_p1r1A21,Basal Epithelial
cu02_p1r3I14,Suprabasal Epithelial
cu02_p1r3J20,Suprabasal Epithelial
cu02_p1r1D2,Proliferative Basal Epithelial
cu02_p1r2H14,Basal Epithelial
cu02_p1r2H7,Suprabasal Epithelial
cu02_p1r3I7,Suprabasal Epithelial
cu02_p1r3K8,Proliferative Basal Epithelial
cu02_p1r2H18,Proliferative Basal Epithelial
cu02_p1r1A23,CD8+ T Cell
cu02_p1r1B12,Proliferative Basal Epithelial
cu02_p1r1C2,Suprabasal Epithelial
cu02_p1r2H16,Suprabasal Epithelial
cu02_p1r2G6,Suprabasal Epithelial
cu02_p1r3K21,Suprabasal Epithelial
cu02_p1r1B9,Proliferative Basal Epithelial
cu02_p1r1A24,CD4+ T Cell
cu02_p1r1B3,Suprabasal Epithelial
cu02_p1r4N11,Suprabasal Epithelial
cu02_p1r1D4,Proliferative Basal Epithelial
cu02_p1r3K12,Suprabasal Epithelial
cu02_p1r2H2,Suprabasal Epithelial
cu02_p1r2E2,Terminally Differentiated Epithelial
cu02_p1r2H21,Terminally Differentiated Epithelial
cu02_p1r2E10,Suprabasal Epithelial
cu02_p1r3L22,CD4+ T Cell
cu02_p1r2H9,Suprabasal Epithelial
cu02_p1r2F24,CD8+ T Cell
cu02_p1r1D11,Suprabasal Epithelial
cu02_p1r3I13,Basal Epithelial
cu02_p1r4N16,Suprabasal Epithelial
cu02_p1r3L19,Basal Epithelial
cu02_p1r3I5,Suprabasal Epithelial
cu02_p1r4N13,Suprabasal Epithelial
cu02_p1r2G8,Suprabasal Epithelial
cu02_p1r2F6,Proliferative Basal Epithelial
cu02_p1r2F19,Proliferative Basal Epithelial
cu02_p1r4N14,Suprabasal Epithelial
cu02_p1r3J9,Proliferative Basal Epithelial
cu02_p1r4O10,Suprabasal Epithelial
cu02_p1r1A1,Suprabasal Epithelial
cu02_p1r1C18,Suprabasal Epithelial
cu02_p1r3L20,Suprabasal Epithelial
cu02_p1r1A4,Proliferative Basal Epithelial
cu02_p1r1D13,Basal Epithelial
cu02_p1r3K4,Proliferative Basal Epithelial
cu02_p1r4O4,Suprabasal Epithelial
cu02_p1r1A3,Basal Epithelial
cu02_p1r3L3,Suprabasal Epithelial
cu02_p1r1C1,Proliferative Basal Epithelial
cu02_p1r4N6,Suprabasal Epithelial
cu02_p1r4O19,Suprabasal Epithelial
cu02_p1r1A11,Suprabasal Epithelial
cu02_p1r1B24,CD4+ T Cell
cu02_p1r1B21,Proliferative Basal Epithelial
cu02_p1r4N17,Suprabasal Epithelial
cu02_p1r1B2,Basal Epithelial
cu02_p1r1A8,Terminally Differentiated Epithelial
cu02_p1r4O17,Proliferative Basal Epithelial
cu02_p1r2H5,Proliferative Basal Epithelial
cu02_p1r3I16,Proliferative Basal Epithelial
cu02_p1r1B13,Suprabasal Epithelial
cu02_p1r3K9,Suprabasal Epithelial
cu02_p1r1A7,Proliferative Basal Epithelial
cu02_p1r1D15,Suprabasal Epithelial
cu02_p1r3J10,Suprabasal Epithelial
cu02_p1r4N3,Proliferative Basal Epithelial
cu02_p1r2E9,Suprabasal Epithelial
cu02_p1r4N19,Suprabasal Epithelial
cu02_p1r4N23,CD8+ T Cell
cu02_p1r4M16,Proliferative Basal Epithelial
cu02_p1r2F13,Proliferative Basal Epithelial
cu02_p1r3J16,Suprabasal Epithelial
cu02_p1r3I8,Suprabasal Epithelial
cu02_p1r3J18,Suprabasal Epithelial
cu02_p1r2F4,Proliferative Basal Epithelial
cu02_p1r1A9,Proliferative Basal Epithelial
cu02_p1r4O16,Suprabasal Epithelial
cu02_p1r1B18,Suprabasal Epithelial
cu02_p1r3K10,Proliferative Basal Epithelial
cu02_p1r2G5,Suprabasal Epithelial
cu02_p1r1C20,Suprabasal Epithelial
cu02_p1r3L21,Proliferative Basal Epithelial
cu02_p1r4O15,Suprabasal Epithelial
cu02_p1r4M14,Proliferative Basal Epithelial
cu02_p1r2E11,Suprabasal Epithelial
cu02_p1r3L9,Suprabasal Epithelial
cu02_p1r3K19,Proliferative Basal Epithelial
cu02_p1r3I20,Suprabasal Epithelial
cu02_p1r3K2,Basal Epithelial
cu02_p1r2E12,Suprabasal Epithelial
cu02_p1r3J2,Proliferative Basal Epithelial
cu02_p1r1B4,Suprabasal Epithelial
cu02_p1r4O23,CD8+ T Cell
cu02_p2r3J3,Suprabasal Epithelial
cu02_p2r3L11,Proliferative Basal Epithelial
cu02_p2r3J24,CD4+ T Cell
cu02_p2r3J6,Suprabasal Epithelial
cu02_p2r3J11,Proliferative Basal Epithelial
cu02_p2r3K17,Basal Epithelial
cu02_p2r1A21,Proliferative Basal Epithelial
cu02_p2r1C13,Proliferative Basal Epithelial
cu02_p2r2E22,CD8+ T Cell
cu02_p2r4M13,Suprabasal Epithelial
cu02_p2r2F6,Suprabasal Epithelial
cu02_p2r2E10,Proliferative Basal Epithelial
cu02_p2r3L18,Suprabasal Epithelial
cu02_p2r3J9,Proliferative Basal Epithelial
cu02_p2r2H3,Basal Epithelial
cu02_p2r4M12,Proliferative Basal Epithelial
cu02_p2r2G8,Proliferative Basal Epithelial
cu02_p2r3J23,CD4+ T Cell
cu02_p2r1A16,Suprabasal Epithelial
cu02_p2r2G12,Basal Epithelial
cu02_p2r2G4,Proliferative Basal Epithelial
cu02_p2r1A5,Suprabasal Epithelial
cu02_p2r3K8,Suprabasal Epithelial
cu02_p2r3I21,Basal Epithelial
cu02_p2r2H7,Suprabasal Epithelial
cu02_p2r4O19,Proliferative Basal Epithelial
cu02_p2r1D12,Proliferative Basal Epithelial
cu02_p2r2E4,Proliferative Basal Epithelial
cu02_p2r2E3,Suprabasal Epithelial
cu02_p2r1C8,Proliferative Basal Epithelial
cu02_p2r2E20,Suprabasal Epithelial
cu02_p2r3I3,Basal Epithelial
cu02_p2r3K2,Proliferative Basal Epithelial
cu02_p2r2F21,Basal Epithelial
cu02_p2r4N21,Proliferative Basal Epithelial
cu02_p2r3J14,Proliferative Basal Epithelial
cu02_p2r2G6,Proliferative Basal Epithelial
cu02_p2r3K19,Proliferative Basal Epithelial
cu02_p2r1B21,Suprabasal Epithelial
cu02_p2r1C19,Basal Epithelial
cu02_p2r4O12,Suprabasal Epithelial
cu02_p2r2G11,Suprabasal Epithelial
cu02_p2r2E5,Suprabasal Epithelial
cu02_p2r1B20,Suprabasal Epithelial
cu02_p2r4O23,CD8+ T Cell
cu02_p2r1C24,Macrophage
cu02_p2r3J21,Suprabasal Epithelial
cu02_p2r2H5,Proliferative Basal Epithelial
cu02_p2r2G2,Proliferative Basal Epithelial
cu02_p2r1C14,Suprabasal Epithelial
cu02_p2r2G22,CD4+ T Cell
cu02_p2r4M21,Basal Epithelial
cu02_p2r4O4,Suprabasal Epithelial
cu02_p2r1B6,Proliferative Basal Epithelial
cu02_p2r3K14,Proliferative Basal Epithelial
cu02_p2r3I1,Suprabasal Epithelial
cu02_p2r4N14,Terminally Differentiated Epithelial
cu02_p2r1C3,Proliferative Basal Epithelial
cu02_p2r3I12,Suprabasal Epithelial
cu02_p2r4O9,Suprabasal Epithelial
cu02_p2r3L2,Suprabasal Epithelial
cu02_p2r3L10,Proliferative Basal Epithelial
cu02_p2r1D9,Suprabasal Epithelial
cu02_p2r1D13,Proliferative Basal Epithelial
cu02_p2r2E2,Proliferative Basal Epithelial
cu02_p2r1A24,Macrophage
cu02_p2r2G3,Basal Epithelial
cu02_p2r1D8,Suprabasal Epithelial
cu02_p2r1B11,Proliferative Basal Epithelial
cu02_p2r4N4,Basal Epithelial
cu02_p2r4M22,CD4+ T Cell
cu02_p2r1A14,Proliferative Basal Epithelial
cu02_p2r2H12,Suprabasal Epithelial
cu02_p2r4M11,Basal Epithelial
cu02_p2r3I11,Proliferative Basal Epithelial
cu02_p2r3J7,Suprabasal Epithelial
cu02_p2r1D19,Proliferative Basal Epithelial
cu02_p2r3I19,Proliferative Basal Epithelial
cu02_p2r2F13,Proliferative Basal Epithelial
cu02_p2r3J22,Macrophage
cu02_p2r3K7,Proliferative Basal Epithelial
cu02_p2r2E13,Suprabasal Epithelial
cu02_p2r1C17,Suprabasal Epithelial
cu02_p2r1B5,Proliferative Basal Epithelial
cu02_p2r1A13,Basal Epithelial
cu02_p2r3L15,Suprabasal Epithelial
cu02_p2r1A15,Suprabasal Epithelial
cu02_p2r1A17,Basal Epithelial
cu02_p2r4N13,Proliferative Basal Epithelial
cu02_p2r2E15,Suprabasal Epithelial
cu02_p2r1A4,Suprabasal Epithelial
cu02_p2r3I9,Suprabasal Epithelial
cu02_p2r1B14,Basal Epithelial
cu02_p2r3K11,Suprabasal Epithelial
cu02_p2r2F15,Suprabasal Epithelial
cu02_p2r1D4,Proliferative Basal Epithelial
cu02_p2r1C10,Proliferative Basal Epithelial
cu02_p2r1C20,Basal Epithelial
cu02_p2r4N12,Suprabasal Epithelial
cu02_p2r1B18,Suprabasal Epithelial
cu02_p2r1B15,Basal Epithelial
cu02_p2r3L17,Suprabasal Epithelial
cu02_p2r4O6,Proliferative Basal Epithelial
cu02_p2r1A6,Suprabasal Epithelial
cu02_p2r3I13,Suprabasal Epithelial
cu02_p2r3I4,Proliferative Basal Epithelial
cu02_p2r3I10,Basal Epithelial
cu02_p2r1C16,Proliferative Basal Epithelial
cu02_p2r3L7,Suprabasal Epithelial
cu02_p2r1B19,Proliferative Basal Epithelial
cu02_p2r4M2,Basal Epithelial
cu02_p2r1C6,Basal Epithelial
cu02_p2r1C4,Suprabasal Epithelial
cu02_p2r1A10,Basal Epithelial
cu02_p2r3L3,Suprabasal Epithelial
cu02_p2r4N22,CD8+ T Cell
cu02_p2r1D15,Suprabasal Epithelial
cu02_p2r3K21,Suprabasal Epithelial
cu02_p2r1A3,Proliferative Basal Epithelial
cu02_p2r3K16,Suprabasal Epithelial
cu02_p2r1A19,Suprabasal Epithelial
cu02_p2r3I5,Suprabasal Epithelial
cu02_p2r4M23,CD4+ T Cell
cu02_p2r1A1,Basal Epithelial
cu02_p2r2H19,Terminally Differentiated Epithelial
cu02_p2r1D7,Basal Epithelial
cu02_p2r4M16,Basal Epithelial
cu02_p2r4O20,Basal Epithelial
cu02_p2r2H22,CD4+ T Cell
cu02_p2r3L13,Proliferative Basal Epithelial
cu02_p2r4O17,Suprabasal Epithelial
cu02_p2r2H16,Suprabasal Epithelial
cu02_p2r2F19,Suprabasal Epithelial
cu02_p2r2E23,CD4+ T Cell
cu02_p2r4N2,Suprabasal Epithelial
cu02_p2r4O14,Suprabasal Epithelial
cu02_p2r4O15,Suprabasal Epithelial
cu02_p2r1B13,Suprabasal Epithelial
cu02_p2r3L1,Suprabasal Epithelial
cu02_p2r4M15,Proliferative Basal Epithelial
cu02_p2r1D2,Basal Epithelial
cu02_p2r2G9,Basal Epithelial
cu02_p2r2F23,CD8+ T Cell
cu02_p2r3L20,Basal Epithelial
cu02_p2r1B12,Suprabasal Epithelial
cu02_p2r2H8,Proliferative Basal Epithelial
cu02_p2r2E16,Suprabasal Epithelial
cu02_p2r1A11,Suprabasal Epithelial
cu02_p2r3I14,Suprabasal Epithelial
cu02_p2r3L6,Suprabasal Epithelial
cu02_p2r1C18,Suprabasal Epithelial
cu02_p2r2G17,Proliferative Basal Epithelial
cu02_p2r3L8,Proliferative Basal Epithelial
cu02_p2r3J19,Suprabasal Epithelial
cu02_p2r1B4,Basal Epithelial
cu02_p2r2H23,Macrophage
cu02_p2r3K6,Suprabasal Epithelial
cu02_p2r3J18,Suprabasal Epithelial
cu02_p2r2H18,Suprabasal Epithelial
cu02_p2r1B3,Suprabasal Epithelial
cu02_p2r4O8,Basal Epithelial
cu02_p2r2H2,Basal Epithelial
cu02_p2r2F11,Suprabasal Epithelial
cu02_p2r4O5,Proliferative Basal Epithelial
cu02_p2r4N3,Proliferative Basal Epithelial
cu02_p2r3J12,Proliferative Basal Epithelial
cu02_p2r1A2,Proliferative Basal Epithelial
cu02_p2r1D1,Suprabasal Epithelial
cu02_p2r2F16,Suprabasal Epithelial
cu02_p2r1A7,Suprabasal Epithelial
cu02_p2r3K1,Proliferative Basal Epithelial
cu02_p2r1B10,Suprabasal Epithelial
cu02_p2r4M17,Proliferative Basal Epithelial
cu02_p2r3I23,CD8+ T Cell
cu02_p2r1D6,Basal Epithelial
cu02_p2r1C9,Proliferative Basal Epithelial
cu02_p2r4M10,Suprabasal Epithelial
cu02_p2r1B22,CD4+ T Cell
cu02_p2r1D20,Suprabasal Epithelial
cu02_p2r2F9,Suprabasal Epithelial
cu02_p2r3L9,Proliferative Basal Epithelial
cu02_p2r2G24,Mast Cell
cu02_p2r4M6,Suprabasal Epithelial
cu02_p2r2H14,Proliferative Basal Epithelial
cu02_p2r4M19,Suprabasal Epithelial
cu02_p2r2H20,Suprabasal Epithelial
cu02_p2r3J16,Suprabasal Epithelial
cu02_p2r1D16,Suprabasal Epithelial
cu02_p2r2F20,Proliferative Basal Epithelial
cu02_p2r1B17,Basal Epithelial
cu02_p2r1C23,CD8+ T Cell
cu02_p2r2G20,Suprabasal Epithelial
cu02_p2r2G1,Proliferative Basal Epithelial
cu02_p2r3L22,Mast Cell
cu02_p2r3I2,Suprabasal Epithelial
cu02_p2r3J2,Suprabasal Epithelial
cu02_p2r2H4,Proliferative Basal Epithelial
cu02_p2r3K3,Suprabasal Epithelial
cu02_p2r2E7,Suprabasal Epithelial
cu02_p2r2E12,Proliferative Basal Epithelial
cu02_p2r4O2,Basal Epithelial
cu02_p2r2H24,CD4+ T Cell
cu02_p2r1D17,Suprabasal Epithelial
cu02_p2r2F3,Terminally Differentiated Epithelial
cu02_p2r1D5,Suprabasal Epithelial
cu02_p2r4N1,Suprabasal Epithelial
cu02_p2r4O18,Proliferative Basal Epithelial
cu02_p2r3J4,Basal Epithelial
cu02_p2r4N6,Proliferative Basal Epithelial
cu02_p2r1C2,Suprabasal Epithelial
cu02_p2r1B1,Proliferative Basal Epithelial
cu02_p2r1C1,Suprabasal Epithelial
cu02_p2r1D14,Proliferative Basal Epithelial
cu02_p2r3I20,Proliferative Basal Epithelial
cu02_p2r2F17,Suprabasal Epithelial
cu02_p2r1C22,CD4+ T Cell
cu02_p2r4M4,Suprabasal Epithelial
cu02_p2r2F2,Basal Epithelial
cu02_p2r1D24,CD4+ T Cell
cu02_p2r3J17,Suprabasal Epithelial
cu02_p2r3J10,Suprabasal Epithelial
cu02_p2r3L19,Suprabasal Epithelial
cu02_p2r4M8,Suprabasal Epithelial
cu02_p2r3J13,Proliferative Basal Epithelial
cu02_p2r2E19,Proliferative Basal Epithelial
cu02_p2r2E18,Proliferative Basal Epithelial
cu02_p2r3J5,Proliferative Basal Epithelial
cu02_p2r3J1,Suprabasal Epithelial
cu02_p2r3K20,Basal Epithelial
cu02_p2r2H9,Basal Epithelial
cu02_p2r1A9,Suprabasal Epithelial
cu02_p2r2F5,Suprabasal Epithelial
cu02_p2r2H13,Proliferative Basal Epithelial
cu02_p2r3L14,Basal Epithelial
cu02_p2r3J15,Basal Epithelial
cu02_p2r2G13,Proliferative Basal Epithelial
cu02_p2r4N10,Suprabasal Epithelial
cu02_p2r4N16,Terminally Differentiated Epithelial
cu02_p2r2H6,Suprabasal Epithelial
cu02_p2r2H17,Suprabasal Epithelial
cu02_p2r2E17,Suprabasal Epithelial
cu02_p2r3I22,CD4+ T Cell
cu02_p2r1A8,Suprabasal Epithelial
cu02_p2r3I17,Proliferative Basal Epithelial
cu02_p2r4M3,Suprabasal Epithelial
cu02_p2r1D10,Proliferative Basal Epithelial
cu02_p2r2G5,Proliferative Basal Epithelial
cu02_p2r3K23,CD8+ T Cell
cu02_p2r2E14,Suprabasal Epithelial
cu02_p2r4O10,Proliferative Basal Epithelial
cu02_p2r3L23,Macrophage
cu02_p2r2G10,Proliferative Basal Epithelial
cu02_p2r3K9,Suprabasal Epithelial
cu02_p2r3K18,Basal Epithelial
cu02_p2r3K10,Proliferative Basal Epithelial
cu02_p2r1C15,Suprabasal Epithelial
cu02_p2r4N9,Basal Epithelial
cu02_p2r4M18,Proliferative Basal Epithelial
cu02_p2r4M20,Suprabasal Epithelial
cu02_p2r2E8,Proliferative Basal Epithelial
cu02_p2r2H21,Suprabasal Epithelial
cu02_p2r4O16,Suprabasal Epithelial
cu02_p2r4N5,Suprabasal Epithelial
cu02_p2r1B23,CD8+ T Cell
cu02_p2r2G21,Proliferative Basal Epithelial
cu02_p2r4O21,Basal Epithelial
cu02_p2r2F14,Basal Epithelial
cu02_p2r2F10,Suprabasal Epithelial
cu02_p2r2E21,Suprabasal Epithelial
cu02_p2r2H15,Proliferative Basal Epithelial
cu02_p2r2F8,Suprabasal Epithelial
cu02_p2r2F7,Proliferative Basal Epithelial
cu02_p2r1B9,Suprabasal Epithelial
