1752174	1805403	0.970517	cu08_p1r1A11
1466445	1805403	0.812254	cu08_p1r1A13
1715598	1805403	0.950258	cu08_p1r1A15
1693467	1805403	0.937999	cu08_p1r1A17
1715423	1805403	0.950161	cu08_p1r1A19
1590264	1805403	0.880836	cu08_p1r1A21
1572708	1805403	0.871112	cu08_p1r1A23
1381189	1805403	0.765031	cu08_p1r1A3
1555452	1805403	0.861554	cu08_p1r1A7
1457562	1805403	0.807333	cu08_p1r1B11
1604917	1805403	0.888952	cu08_p1r1B13
1544904	1805403	0.855711	cu08_p1r1B17
1441781	1805403	0.798592	cu08_p1r1B19
1652274	1805403	0.915183	cu08_p1r1B1
1653672	1805403	0.915957	cu08_p1r1B21
1509177	1805403	0.835923	cu08_p1r1B23
1597264	1805403	0.884713	cu08_p1r1B3
1604183	1805403	0.888546	cu08_p1r1B5
1668815	1805403	0.924345	cu08_p1r1C11
1665021	1805403	0.922243	cu08_p1r1C13
1740041	1805403	0.963796	cu08_p1r1C1
1575224	1805403	0.872505	cu08_p1r1C23
1492159	1805403	0.826496	cu08_p1r1C3
1549215	1805403	0.858099	cu08_p1r1C5
1703772	1805403	0.943707	cu08_p1r1C7
1530208	1805403	0.847571	cu08_p1r1C9
1586557	1805403	0.878783	cu08_p1r1D13
1509499	1805403	0.836101	cu08_p1r1D15
1535620	1805403	0.850569	cu08_p1r1D19
1755890	1805403	0.972575	cu08_p1r1D1
1586954	1805403	0.879003	cu08_p1r1D21
1548224	1805403	0.85755	cu08_p1r1D23
1631956	1805403	0.903929	cu08_p1r1D7
1663142	1805403	0.921203	cu08_p1r1D9
1400879	1805403	0.775937	cu08_p1r1E11
1622817	1805403	0.898867	cu08_p1r1E19
1764302	1805403	0.977234	cu08_p1r1E1
1579464	1805403	0.874854	cu08_p1r1E21
1448006	1805403	0.80204	cu08_p1r1E23
1642286	1805403	0.909651	cu08_p1r1E7
1676046	1805403	0.92835	cu08_p1r1E9
1357258	1805403	0.751776	cu08_p1r1F11
1569222	1805403	0.869181	cu08_p1r1F17
1734563	1805403	0.960762	cu08_p1r1F1
1548239	1805403	0.857559	cu08_p1r1F21
1568767	1805403	0.868929	cu08_p1r1F23
1671981	1805403	0.926098	cu08_p1r1F7
1559268	1805403	0.863668	cu08_p1r1G1
1561954	1805403	0.865155	cu08_p1r1G23
1550073	1805403	0.858575	cu08_p1r1G3
1661301	1805403	0.920183	cu08_p1r1G7
1655707	1805403	0.917084	cu08_p1r1H19
1581887	1805403	0.876196	cu08_p1r1H7
1591911	1805403	0.881748	cu08_p1r2A10
1697019	1805403	0.939967	cu08_p1r2A12
1573182	1805403	0.871374	cu08_p1r2A14
1645720	1805403	0.911553	cu08_p1r2A16
1723843	1805403	0.954824	cu08_p1r2A18
1480587	1805403	0.820087	cu08_p1r2A20
1541040	1805403	0.853571	cu08_p1r2A22
1640755	1805403	0.908803	cu08_p1r2A24
1335144	1805403	0.739527	cu08_p1r2A2
1377840	1805403	0.763176	cu08_p1r2A4
1522702	1805403	0.843414	cu08_p1r2A6
1479102	1805403	0.819264	cu08_p1r2A8
1559337	1805403	0.863706	cu08_p1r2B12
1684524	1805403	0.933046	cu08_p1r2B14
1379429	1805403	0.764056	cu08_p1r2B16
1583478	1805403	0.877077	cu08_p1r2B18
1582052	1805403	0.876287	cu08_p1r2B20
1556037	1805403	0.861878	cu08_p1r2B22
1518896	1805403	0.841306	cu08_p1r2B24
1572058	1805403	0.870752	cu08_p1r2B2
1727578	1805403	0.956893	cu08_p1r2B4
1644725	1805403	0.911002	cu08_p1r2B6
1521654	1805403	0.842833	cu08_p1r2C10
1559775	1805403	0.863948	cu08_p1r2C12
1642399	1805403	0.909713	cu08_p1r2C14
1688467	1805403	0.93523	cu08_p1r2C18
1555507	1805403	0.861584	cu08_p1r2C20
1515592	1805403	0.839476	cu08_p1r2C22
1619298	1805403	0.896918	cu08_p1r2C24
1361255	1805403	0.75399	cu08_p1r2C2
1617264	1805403	0.895791	cu08_p1r2C6
1531213	1805403	0.848128	cu08_p1r2D10
1496002	1805403	0.828625	cu08_p1r2D12
1567953	1805403	0.868478	cu08_p1r2D18
1315853	1805403	0.728842	cu08_p1r2D20
1545370	1805403	0.85597	cu08_p1r2D22
1593377	1805403	0.88256	cu08_p1r2D24
1670318	1805403	0.925177	cu08_p1r2D4
1351709	1805403	0.748702	cu08_p1r2D6
1540144	1805403	0.853075	cu08_p1r2E10
1366108	1805403	0.756678	cu08_p1r2E14
1585917	1805403	0.878428	cu08_p1r2E16
1604655	1805403	0.888807	cu08_p1r2E18
1557881	1805403	0.862899	cu08_p1r2E22
1683259	1805403	0.932345	cu08_p1r2E24
1546996	1805403	0.85687	cu08_p1r2E2
1547794	1805403	0.857312	cu08_p1r2E4
1515816	1805403	0.8396	cu08_p1r2E6
1660837	1805403	0.919926	cu08_p1r2E8
1665411	1805403	0.922459	cu08_p1r2F10
1692319	1805403	0.937364	cu08_p1r2F14
1650911	1805403	0.914428	cu08_p1r2F22
1658245	1805403	0.91849	cu08_p1r2F24
1614713	1805403	0.894378	cu08_p1r2F4
1398356	1805403	0.77454	cu08_p1r2F6
1513309	1805403	0.838211	cu08_p1r2F8
1480762	1805403	0.820184	cu08_p1r2G18
1735982	1805403	0.961548	cu08_p1r2G24
1518095	1805403	0.840862	cu08_p1r2G6
1359851	1805403	0.753212	cu08_p1r2G8
1683851	1805403	0.932673	cu08_p1r2H12
1602557	1805403	0.887645	cu08_p1r2H22
1746903	1805403	0.967597	cu08_p1r2H24
1543827	1805403	0.855115	cu08_p1r2H6
1480889	1805403	0.820254	cu08_p1r2H8
1662679	1805403	0.920946	cu08_p1r3I17
1753786	1805403	0.97141	cu08_p1r3I7
1711435	1805403	0.947952	cu08_p1r3J19
1559823	1805403	0.863975	cu08_p1r3J23
1728338	1805403	0.957314	cu08_p1r3J5
1683694	1805403	0.932586	cu08_p1r3J9
1319062	1805403	0.730619	cu08_p1r3K13
1560786	1805403	0.864508	cu08_p1r3K23
1637208	1805403	0.906838	cu08_p1r3L19
1592091	1805403	0.881848	cu08_p1r3L23
1603641	1805403	0.888245	cu08_p1r3M19
1716795	1805403	0.950921	cu08_p1r3M21
1627797	1805403	0.901625	cu08_p1r3M23
1251219	1805403	0.693041	cu08_p1r3N11
1612043	1805403	0.892899	cu08_p1r3N23
1635726	1805403	0.906017	cu08_p1r3O23
1679177	1805403	0.930084	cu08_p1r3O9
1667600	1805403	0.923672	cu08_p1r3P13
1745422	1805403	0.966777	cu08_p1r3P3
1603631	1805403	0.88824	cu08_p1r3P5
1754388	1805403	0.971743	cu08_p1r4I12
1634654	1805403	0.905423	cu08_p1r4I16
1520694	1805403	0.842302	cu08_p1r4I22
1788476	1805403	0.990624	cu08_p1r4I24
1719711	1805403	0.952536	cu08_p1r4I4
1612791	1805403	0.893314	cu08_p1r4I6
1337561	1805403	0.740866	cu08_p1r4I8
1640367	1805403	0.908588	cu08_p1r4J16
1307201	1805403	0.724049	cu08_p1r4J22
1779923	1805403	0.985887	cu08_p1r4J24
1701338	1805403	0.942359	cu08_p1r4J8
1578412	1805403	0.874271	cu08_p1r4K22
1785630	1805403	0.989048	cu08_p1r4K24
1673461	1805403	0.926918	cu08_p1r4L10
1712352	1805403	0.94846	cu08_p1r4L12
1689445	1805403	0.935772	cu08_p1r4L22
1753430	1805403	0.971213	cu08_p1r4M22
1781921	1805403	0.986993	cu08_p1r4M24
1584493	1805403	0.87764	cu08_p1r4N12
1785842	1805403	0.989165	cu08_p1r4N24
1750180	1805403	0.969412	cu08_p1r4N8
1605814	1805403	0.889449	cu08_p1r4O8
1777648	1805403	0.984627	cu08_p1r4P10
1497563	1805403	0.82949	cu08_p1r4P2
1744860	1805403	0.966466	cu08_p1r4P4
1773217	1805403	0.982172	cu08_p1r4P8
1657594	1805403	0.91813	cu08_p2r1A11
1607017	1805403	0.890115	cu08_p2r1A13
1316764	1805403	0.729346	cu08_p2r1A15
1340999	1805403	0.74277	cu08_p2r1A17
1587154	1805403	0.879113	cu08_p2r1A19
1391939	1805403	0.770985	cu08_p2r1A23
1193919	1805403	0.661303	cu08_p2r1A3
1613833	1805403	0.893891	cu08_p2r1A5
1743022	1805403	0.965448	cu08_p2r1A7
1602739	1805403	0.887746	cu08_p2r1A9
1673847	1805403	0.927132	cu08_p2r1B15
1546565	1805403	0.856631	cu08_p2r1B19
1320296	1805403	0.731303	cu08_p2r1B1
1635340	1805403	0.905803	cu08_p2r1B21
1761917	1805403	0.975913	cu08_p2r1B23
1277180	1805403	0.707421	cu08_p2r1B3
1597251	1805403	0.884706	cu08_p2r1B7
1402997	1805403	0.77711	cu08_p2r1C15
1473045	1805403	0.815909	cu08_p2r1C17
1221305	1805403	0.676472	cu08_p2r1C19
1283994	1805403	0.711195	cu08_p2r1C1
1343757	1805403	0.744298	cu08_p2r1C3
1710377	1805403	0.947366	cu08_p2r1C7
1670058	1805403	0.925033	cu08_p2r1C9
1552446	1805403	0.859889	cu08_p2r1D11
1585944	1805403	0.878443	cu08_p2r1D19
1276228	1805403	0.706894	cu08_p2r1D1
1215833	1805403	0.673441	cu08_p2r1D23
1453810	1805403	0.805255	cu08_p2r1D3
1694571	1805403	0.938611	cu08_p2r1D5
1190593	1805403	0.659461	cu08_p2r1D7
1733215	1805403	0.960016	cu08_p2r1D9
1190225	1805403	0.659257	cu08_p2r1E11
1528654	1805403	0.846711	cu08_p2r1E15
1353623	1805403	0.749762	cu08_p2r1E17
1713898	1805403	0.949316	cu08_p2r1E19
1621898	1805403	0.898358	cu08_p2r1E1
1713572	1805403	0.949135	cu08_p2r1E21
1565102	1805403	0.866899	cu08_p2r1E23
1704403	1805403	0.944057	cu08_p2r1E3
1304284	1805403	0.722434	cu08_p2r1E5
1480222	1805403	0.819885	cu08_p2r1F11
1645431	1805403	0.911393	cu08_p2r1F13
1393302	1805403	0.77174	cu08_p2r1F15
1586227	1805403	0.8786	cu08_p2r1F17
1432848	1805403	0.793644	cu08_p2r1F23
1673586	1805403	0.926987	cu08_p2r1F3
1700602	1805403	0.941951	cu08_p2r1F5
1484402	1805403	0.8222	cu08_p2r1F7
1235720	1805403	0.684457	cu08_p2r1G11
1713408	1805403	0.949045	cu08_p2r1G13
1658724	1805403	0.918756	cu08_p2r1G17
1765192	1805403	0.977727	cu08_p2r1G1
